176.0 # Collector Th aperture in m2
900.139329284215 # Source power emitted by m2
100000 # Rays emitted per sun position
# phi theta efficiency_from_source_Th
90.000 0.000 0.821164
90.000 5.000 0.810652
90.000 10.000 0.783932
90.000 15.000 0.755552
90.000 20.000 0.719976
90.000 25.000 0.676432
90.000 30.000 0.634550
90.000 35.000 0.579670
90.000 40.000 0.522277
90.000 45.000 0.465832
90.000 50.000 0.397039
90.000 55.000 0.324346
90.000 60.000 0.251450
90.000 65.000 0.170145
90.000 70.000 0.097419
90.000 75.000 0.033920
90.000 80.000 0.002157
90.000 85.000 0.001104
90.000 90.000 0.000031
