# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.097850
302.000000 0.097894
304.000000 0.098976
306.000000 0.098346
308.000000 0.098193
310.000000 0.098514
312.000000 0.099227
314.000000 0.100297
316.000000 0.101240
318.000000 0.104887
320.000000 0.109721
322.000000 0.113744
324.000000 0.116888
326.000000 0.121913
328.000000 0.127920
330.000000 0.134934
332.000000 0.137287
334.000000 0.141418
336.000000 0.143728
338.000000 0.145501
340.000000 0.149306
342.000000 0.151170
344.000000 0.151967
346.000000 0.154202
348.000000 0.155501
350.000000 0.157202
352.000000 0.158564
354.000000 0.159289
356.000000 0.159755
358.000000 0.160475
360.000000 0.161382
362.000000 0.161254
364.000000 0.163261
366.000000 0.162926
368.000000 0.162950
370.000000 0.164609
372.000000 0.163859
374.000000 0.164318
376.000000 0.164020
378.000000 0.165161
380.000000 0.164680
382.000000 0.165867
384.000000 0.165596
386.000000 0.166434
388.000000 0.165863
390.000000 0.166863
392.000000 0.166154
394.000000 0.166381
396.000000 0.167295
398.000000 0.166911
400.000000 0.166509
