# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.097973
302.000000 0.098679
304.000000 0.099526
306.000000 0.098971
308.000000 0.098127
310.000000 0.097733
312.000000 0.099314
314.000000 0.100444
316.000000 0.101649
318.000000 0.105092
320.000000 0.110547
322.000000 0.113591
324.000000 0.117224
326.000000 0.121972
328.000000 0.127664
330.000000 0.135910
332.000000 0.137968
334.000000 0.141275
336.000000 0.143769
338.000000 0.145877
340.000000 0.149824
342.000000 0.151742
344.000000 0.152852
346.000000 0.154228
348.000000 0.155907
350.000000 0.157061
352.000000 0.158025
354.000000 0.158768
356.000000 0.159389
358.000000 0.160380
360.000000 0.161829
362.000000 0.161584
364.000000 0.162876
366.000000 0.162785
368.000000 0.163709
370.000000 0.163292
372.000000 0.164625
374.000000 0.164303
376.000000 0.164888
378.000000 0.164660
380.000000 0.165103
382.000000 0.165245
384.000000 0.165534
386.000000 0.165843
388.000000 0.166070
390.000000 0.166568
392.000000 0.166381
394.000000 0.166554
396.000000 0.165967
398.000000 0.167790
400.000000 0.167593
