# #wavelength(nm) efficiency_Th_absorbed
420.000000 0.671901
440.000000 0.677473
460.000000 0.681283
480.000000 0.681895
500.000000 0.684971
520.000000 0.686662
540.000000 0.687153
560.000000 0.689536
580.000000 0.690718
600.000000 0.690193
620.000000 0.690898
640.000000 0.690680
660.000000 0.692712
680.000000 0.692779
700.000000 0.694815
720.000000 0.693590
740.000000 0.692098
760.000000 0.693706
780.000000 0.695062
800.000000 0.695188
820.000000 0.696763
840.000000 0.694065
860.000000 0.697136
880.000000 0.693861
900.000000 0.693828
920.000000 0.691766
940.000000 0.696860
960.000000 0.694844
980.000000 0.695338
1000.000000 0.694928
