# #wavelength(nm) efficiency_Th_absorbed
420.000000 0.167843
440.000000 0.168317
460.000000 0.169130
480.000000 0.170037
500.000000 0.169356
520.000000 0.170574
540.000000 0.170342
560.000000 0.170856
580.000000 0.170973
600.000000 0.170535
620.000000 0.171509
640.000000 0.171235
660.000000 0.171098
680.000000 0.171136
700.000000 0.171702
720.000000 0.171705
740.000000 0.171066
760.000000 0.171046
780.000000 0.171001
800.000000 0.171477
820.000000 0.171905
840.000000 0.171103
860.000000 0.171471
880.000000 0.171427
900.000000 0.171684
920.000000 0.171142
940.000000 0.171999
960.000000 0.171750
980.000000 0.171420
1000.000000 0.172015
