# #wavelength(nm) efficiency_Th_absorbed
420.000000 0.679256
440.000000 0.683598
460.000000 0.686069
480.000000 0.687398
500.000000 0.690773
520.000000 0.693399
540.000000 0.692700
560.000000 0.693090
580.000000 0.692265
600.000000 0.694110
620.000000 0.695731
640.000000 0.693288
660.000000 0.695422
680.000000 0.694695
700.000000 0.696860
720.000000 0.696226
740.000000 0.697302
760.000000 0.693895
780.000000 0.695985
800.000000 0.695144
820.000000 0.695237
840.000000 0.696080
860.000000 0.697604
880.000000 0.696026
900.000000 0.696499
920.000000 0.697892
940.000000 0.696281
960.000000 0.699571
980.000000 0.697694
1000.000000 0.698265
