# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.020960
302.000000 0.020246
304.000000 0.018955
306.000000 0.017474
308.000000 0.016908
310.000000 0.016580
312.000000 0.017304
314.000000 0.019696
316.000000 0.022569
318.000000 0.028871
320.000000 0.039965
322.000000 0.073266
324.000000 0.126423
326.000000 0.192529
328.000000 0.274299
330.000000 0.373655
332.000000 0.404460
334.000000 0.435142
336.000000 0.469456
338.000000 0.501852
340.000000 0.534058
342.000000 0.544512
344.000000 0.556976
346.000000 0.569922
348.000000 0.582928
350.000000 0.592386
352.000000 0.598761
354.000000 0.605925
356.000000 0.610562
358.000000 0.617121
360.000000 0.620638
362.000000 0.628160
364.000000 0.632570
366.000000 0.634055
368.000000 0.638223
370.000000 0.639350
372.000000 0.644029
374.000000 0.645473
376.000000 0.646138
378.000000 0.646818
380.000000 0.650492
382.000000 0.650251
384.000000 0.654727
386.000000 0.653229
388.000000 0.657305
390.000000 0.658084
392.000000 0.659191
394.000000 0.661511
396.000000 0.660007
398.000000 0.663574
400.000000 0.662610
