# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.020147
302.000000 0.019870
304.000000 0.019470
306.000000 0.018024
308.000000 0.017471
310.000000 0.015485
312.000000 0.018203
314.000000 0.019935
316.000000 0.023147
318.000000 0.029326
320.000000 0.039267
322.000000 0.075686
324.000000 0.124288
326.000000 0.192261
328.000000 0.275954
330.000000 0.373427
332.000000 0.404227
334.000000 0.441381
336.000000 0.466878
338.000000 0.500716
340.000000 0.533766
342.000000 0.547101
344.000000 0.556799
346.000000 0.570157
348.000000 0.581037
350.000000 0.593949
352.000000 0.602300
354.000000 0.605145
356.000000 0.611845
358.000000 0.616613
360.000000 0.622540
362.000000 0.627151
364.000000 0.631473
366.000000 0.634122
368.000000 0.637261
370.000000 0.640513
372.000000 0.642375
374.000000 0.643605
376.000000 0.646390
378.000000 0.649389
380.000000 0.649643
382.000000 0.655375
384.000000 0.653720
386.000000 0.653587
388.000000 0.660067
390.000000 0.656620
392.000000 0.662211
394.000000 0.662914
396.000000 0.662870
398.000000 0.662312
400.000000 0.664912
