# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.041628
302.000000 0.041203
304.000000 0.041342
306.000000 0.040745
308.000000 0.041044
310.000000 0.041251
312.000000 0.041475
314.000000 0.042002
316.000000 0.043437
318.000000 0.046432
320.000000 0.053425
322.000000 0.059953
324.000000 0.068248
326.000000 0.078577
328.000000 0.091137
330.000000 0.108361
332.000000 0.112339
334.000000 0.117114
336.000000 0.123100
338.000000 0.127914
340.000000 0.133660
342.000000 0.136427
344.000000 0.138082
346.000000 0.141238
348.000000 0.144155
350.000000 0.146851
352.000000 0.148367
354.000000 0.149073
356.000000 0.150866
358.000000 0.151726
360.000000 0.151919
362.000000 0.154091
364.000000 0.154626
366.000000 0.155301
368.000000 0.156696
370.000000 0.156662
372.000000 0.158104
374.000000 0.158210
376.000000 0.158489
378.000000 0.159327
380.000000 0.159245
382.000000 0.159720
384.000000 0.160054
386.000000 0.160015
388.000000 0.161108
390.000000 0.161025
392.000000 0.161552
394.000000 0.161424
396.000000 0.161235
398.000000 0.161474
400.000000 0.162649
